stock_id,name,exchange,status,ipo_date,out_date
600039,样本股票040,上海证券交易所,正常,2024-01-01,
600040,样本股票041,上海证券交易所,正常,2024-01-01,
600041,样本股票042,上海证券交易所,正常,2024-01-01,
600042,样本股票043,上海证券交易所,正常,2024-01-01,
600043,样本股票044,上海证券交易所,正常,2024-01-01,
600044,样本股票045,上海证券交易所,正常,2024-01-01,
600045,样本股票046,上海证券交易所,正常,2024-01-01,
600046,样本股票047,上海证券交易所,正常,2024-01-01,
600047,样本股票048,上海证券交易所,正常,2024-01-01,
600048,样本股票049,上海证券交易所,正常,2024-01-01,
600049,样本股票050,上海证券交易所,正常,2024-01-01,
600050,样本股票051,上海证券交易所,正常,2024-01-01,
600051,样本股票052,上海证券交易所,正常,2024-01-01,
600052,样本股票053,上海证券交易所,正常,2024-01-01,
600053,样本股票054,上海证券交易所,正常,2024-01-01,
600054,样本股票055,上海证券交易所,正常,2024-01-01,
600055,样本股票056,上海证券交易所,正常,2024-01-01,
600056,样本股票057,上海证券交易所,正常,2024-01-01,
600057,样本股票058,上海证券交易所,正常,2024-01-01,
600058,样本股票059,上海证券交易所,正常,2024-01-01,
600059,样本股票060,上海证券交易所,正常,2024-01-01,
600060,样本股票061,上海证券交易所,正常,2024-01-01,
600061,样本股票062,上海证券交易所,正常,2024-01-01,
600062,样本股票063,上海证券交易所,正常,2024-01-01,
600063,样本股票064,上海证券交易所,正常,2024-01-01,
600064,样本股票065,上海证券交易所,正常,2024-01-01,
600065,样本股票066,上海证券交易所,正常,2024-01-01,
600066,样本股票067,上海证券交易所,正常,2024-01-01,
600067,样本股票068,上海证券交易所,正常,2024-01-01,
600068,样本股票069,上海证券交易所,正常,2024-01-01,
600069,样本股票070,上海证券交易所,正常,2024-01-01,
600070,样本股票071,上海证券交易所,正常,2024-01-01,
600071,样本股票072,上海证券交易所,正常,2024-01-01,
600072,样本股票073,上海证券交易所,正常,2024-01-01,
600073,样本股票074,上海证券交易所,正常,2024-01-01,
600074,样本股票075,上海证券交易所,正常,2024-01-01,
600075,样本股票076,上海证券交易所,正常,2024-01-01,
600076,样本股票077,上海证券交易所,正常,2024-01-01,
600077,样本股票078,上海证券交易所,正常,2024-01-01,
600078,样本股票079,上海证券交易所,正常,2024-01-01,
600079,样本股票080,上海证券交易所,正常,2024-01-01,
600080,样本股票081,上海证券交易所,正常,2024-01-01,
600081,样本股票082,上海证券交易所,正常,2024-01-01,
600082,样本股票083,上海证券交易所,正常,2024-01-01,
600083,样本股票084,上海证券交易所,正常,2024-01-01,
600084,样本股票085,上海证券交易所,正常,2024-01-01,
600085,样本股票086,上海证券交易所,正常,2024-01-01,
600086,样本股票087,上海证券交易所,正常,2024-01-01,
600087,样本股票088,上海证券交易所,正常,2024-01-01,
600088,样本股票089,上海证券交易所,正常,2024-01-01,
600089,样本股票090,上海证券交易所,正常,2024-01-01,
600090,样本股票091,上海证券交易所,正常,2024-01-01,
600091,样本股票092,上海证券交易所,正常,2024-01-01,
600092,样本股票093,上海证券交易所,正常,2024-01-01,
600093,样本股票094,上海证券交易所,正常,2024-01-01,
600094,样本股票095,上海证券交易所,正常,2024-01-01,
600095,样本股票096,上海证券交易所,正常,2024-01-01,
600096,样本股票097,上海证券交易所,正常,2024-01-01,
600097,样本股票098,上海证券交易所,正常,2024-01-01,
600098,样本股票099,上海证券交易所,正常,2024-01-01,
600099,样本股票100,上海证券交易所,正常,2024-01-01,
600100,样本股票101,上海证券交易所,正常,2024-01-01,
600101,样本股票102,上海证券交易所,正常,2024-01-01,
600102,样本股票103,上海证券交易所,正常,2024-01-01,
600103,样本股票104,上海证券交易所,正常,2024-01-01,
600104,样本股票105,上海证券交易所,正常,2024-01-01,
600105,样本股票106,上海证券交易所,正常,2024-01-01,
600106,样本股票107,上海证券交易所,正常,2024-01-01,
600107,样本股票108,上海证券交易所,正常,2024-01-01,
600108,样本股票109,上海证券交易所,正常,2024-01-01,
600109,样本股票110,上海证券交易所,正常,2024-01-01,
600110,样本股票111,上海证券交易所,正常,2024-01-01,
600111,样本股票112,上海证券交易所,正常,2024-01-01,
600112,样本股票113,上海证券交易所,正常,2024-01-01,
600113,样本股票114,上海证券交易所,正常,2024-01-01,
600114,样本股票115,上海证券交易所,正常,2024-01-01,
600115,样本股票116,上海证券交易所,正常,2024-01-01,
600116,样本股票117,上海证券交易所,正常,2024-01-01,
600117,样本股票118,上海证券交易所,正常,2024-01-01,
600118,样本股票119,上海证券交易所,正常,2024-01-01,
600119,样本股票120,上海证券交易所,正常,2024-01-01,
